"date","close","volume","open","high","low"
"2017/08/28","161.4700","25649890.0000","160.1400","162.0000","159.9300"
"2017/08/25","159.8600","25184600.0000","159.6500","160.5600","159.2700"
"2017/08/24","159.2700","19782170.0000","160.4300","160.7400","158.5500"
"2017/08/23","159.9800","19376940.0000","159.0700","160.4700","158.8800"
"2017/08/22","159.7800","21564890.0000","158.2300","160.0000","158.0200"
"2017/08/21","157.2100","26330070.0000","157.5000","157.8900","155.1101"
"2017/08/18","157.5000","27391950.0000","157.8600","159.5000","156.7200"
"2017/08/17","157.8600","27377960.0000","160.5200","160.7100","157.8400"
"2017/08/16","160.9500","27607370.0000","161.9400","162.5100","160.1500"
"2017/08/15","161.6000","29377630.0000","160.6600","162.1950","160.1400"
"2017/08/14","159.8500","22074760.0000","159.3200","160.2100","158.7500"
"2017/08/11","157.4800","26208970.0000","156.6000","158.5728","156.0700"
"2017/08/10","155.3200","39636190.0000","159.9000","160.0000","154.6300"
"2017/08/09","161.0600","26060430.0000","159.2600","161.2700","159.1100"
"2017/08/08","160.0800","36127490.0000","158.6000","161.8300","158.2700"
"2017/08/07","158.8100","21827400.0000","157.0600","158.9200","156.6701"
"2017/08/04","156.3900","20514810.0000","156.0700","157.4000","155.6900"
"2017/08/03","155.5700","26604140.0000","157.0500","157.2100","155.0200"
"2017/08/02","157.1400","69726440.0000","159.2800","159.7500","156.1600"
"2017/08/01","150.0500","33669020.0000","149.1000","150.2200","148.4100"
"2017/07/31","148.7300","19690420.0000","149.9000","150.3300","148.1300"
"2017/07/28","149.5000","17192770.0000","149.8900","150.2300","149.1900"
"2017/07/27","150.5600","32429770.0000","153.7500","153.9900","147.3000"
"2017/07/26","153.4600","15649120.0000","153.3500","153.9300","153.0600"
"2017/07/25","152.7400","18798250.0000","151.8000","153.8400","151.8000"
"2017/07/24","152.0900","21466370.0000","150.5800","152.4400","149.9000"
"2017/07/21","150.2700","25111310.0000","149.9900","150.4400","148.8800"
"2017/07/20","150.3400","17170490.0000","151.5000","151.7400","150.1900"
"2017/07/19","151.0200","20859830.0000","150.4800","151.4200","149.9500"
"2017/07/18","150.0800","17837130.0000","149.2000","150.1300","148.6700"
"2017/07/17","149.5600","23765710.0000","148.8200","150.9000","148.5700"
"2017/07/14","149.0400","20117070.0000","147.9700","149.3300","147.3300"
"2017/07/13","147.7700","25080500.0000","145.5000","148.4900","145.4400"
"2017/07/12","145.7400","24833800.0000","145.8700","146.1800","144.8200"
"2017/07/11","145.5300","18647220.0000","144.7300","145.8500","144.3800"
"2017/07/10","145.0600","21080580.0000","144.1100","145.9500","143.3700"
"2017/07/07","144.1800","18527000.0000","142.9000","144.7500","142.9000"
"2017/07/06","142.7300","24110330.0000","143.0200","143.5000","142.4100"
"2017/07/05","144.0900","21550270.0000","143.6900","144.7900","142.7237"
"2017/07/03","143.5000","14277850.0000","144.8800","145.3001","143.1000"
